avg,std,min,max,dateRange,maxsize,size,avgTrades,avgExposure,sharpe,evaluationScoreOnSecondary,evaluationScore,id
-11.940422185177933,22.0279131317805,-81.75035758852405,0.0,2018-02-19 14:12:29 to 2018-05-20 14:12:29,50,50,99.26,19.37851161561249,-20.773014781023345,,,0
-9.88825158988074,4.856575764051084,-13.82019149364288,0.0,,50,23,58.4,18.062213141061314,-10.65627743246154,,,1
-8.136624130233448,5.199537821925358,-14.064522196192371,0.0,,30,26,22.571428571428573,19.009520609318987,-8.590219448442713,,,2
-8.902160388146676,6.015498842065662,-27.059622249565507,0.0,,30,27,51.0,67.12977766873375,-8.134253332054573,,,3
-7.413022769384653,10.512653975826021,-33.72223248539969,36.773241584232935,,30,32,42.4,27.760832847148368,-7.8127855019490235,,,4
