avg,std,min,max,dateRange,maxsize,size,avgTrades,avgExposure,sharpe,evaluationScoreOnSecondary,evaluationScore,id
-19.04655433345816,5.926958919268907,-33.08943882940967,-3.5899155667258356,2018-06-09 15:06:44 to 2018-09-07 15:06:44,50,50,22.24,276.52463381541656,-11.995231728596739,,,0
-6.972549257219183,5.289929686026552,-21.253296242603028,-3.5899155667258356,,50,25,11.181818181818182,406.57550588235296,-5.306293064096722,,,1
-16.545270044865894,4.174612972606913,-23.898022879940953,-12.55151752897612,,50,18,26.846153846153847,128.56692181160963,-10.47182419226897,,,2
-15.66827250518432,4.146635029420043,-28.172285403718718,-3.5899155667258356,,150,70,26.0,173.35506675051462,-9.537926513402763,,,3
-12.377067262173139,2.009313351757424,-16.43610065502979,-7.632771514247736,,25,32,24.4,167.48980654761903,-6.866096003042913,,,4
-11.494207921573238,3.8348284408378066,-25.482636365848677,-7.337972156163417,,150,66,20.9,173.81067543567536,-6.852655726606477,,,5
-11.842544479831929,4.6034553189251515,-27.24381034149428,-7.337972156163417,,63,66,27.9,188.4167574214745,-7.264555609295001,,,6
-10.703931395963606,3.400374330798377,-20.429440889813037,-3.5899155667258356,,63,63,14.714285714285714,193.32645502645508,-6.455810283115462,,,7
-10.473060836150047,5.290947936583294,-21.07122103044503,-7.337972156163417,,25,29,19.125,208.33021346469624,-6.2307497887596055,,,8
-9.83100003308886,4.755713242359817,-26.268522550195286,-7.337972156163417,,150,55,19.894736842105264,185.82589211442158,-6.2705993133442375,,,9
-9.771340943351065,3.7443699454726893,-20.65231816196878,-7.337972156163417,,150,79,16.454545454545453,193.82058165704657,-7.313152625081737,,,10
-10.292339602574682,4.653487110845994,-32.74590642064405,-7.337972156163417,,150,95,18.12,199.28314929480567,-6.40918361680099,,,11
-10.005662801037467,4.091313663767224,-24.913519631290555,-7.337972156163417,,150,110,20.772727272727273,186.39249855923237,-6.498315029091469,,,12
-9.40398408873318,3.1312868920017642,-20.77737416113598,-7.337972156163417,,150,108,22.7,178.25761387351506,-6.219400107406284,,,13
-9.373501445247344,3.351563883292849,-24.56302213797943,-7.337972156163417,,150,116,26.0,177.77828935672207,-6.3057154429027875,,,14
-9.296953099639941,3.695271401595317,-33.24656355952254,-3.5899155667258356,,150,122,24.5,181.64553612809846,-6.280975635855965,,,15
-12.10229199402895,6.575018282048014,-26.077215400027853,-7.337972156163417,,25,22,26.1,163.9712237925473,-7.678685055509953,,,16
-10.909846159038185,4.960592753138843,-25.131124494869937,-3.5899155667258356,,150,57,18.444444444444443,206.56107466378361,-7.272525848562087,,,17
-9.1335680062121,4.301050439344261,-24.386873386591972,-3.5899155667258356,,25,35,27.666666666666668,174.6637418967586,-6.084200101964784,,,18
-10.97347660992761,7.039361164208496,-33.24656355952254,-7.337972156163417,,25,37,40.8,163.55987820823339,-8.251840799591212,,,19
-10.90055394277852,5.7801160576693125,-27.82943280097234,-3.5899155667258356,,150,82,19.037037037037038,188.17788970156263,-7.499429926932934,,,20
-9.2013352863947,4.8585538277207325,-25.809260409971586,-7.337972156163417,,25,30,31.833333333333332,177.83139061421662,-6.52020929067241,,,21
-9.76555537562618,4.727114071644625,-24.56302213797943,-3.5899155667258356,,150,67,18.8,185.292596541104,-6.24447034459028,,,22
-9.161923231326071,4.51300743966854,-25.771020163291013,-3.5899155667258356,,25,34,16.2,244.24684873949573,-5.66064315711042,,,23
-9.393863865874724,4.990762778566296,-25.809260409971586,-7.337972156163417,,25,31,35.857142857142854,173.61369545641915,-6.601120143404775,,,24
-10.893875560729835,6.188490505406649,-33.24656355952254,-7.337972156163417,,150,72,32.958333333333336,164.89275647413123,-7.574980215474145,,,25
-10.366352024608375,5.251838717586458,-25.809260409971586,-7.337972156163417,,150,88,24.153846153846153,183.16509954151428,-6.821439737981853,,,26
-9.363872508629079,3.887095880013326,-25.809260409971586,-3.5899155667258356,,150,98,26.1875,175.6208377109611,-6.457498223188293,,,27
-11.257421738786315,6.012174436112742,-25.809260409971586,-7.337972156163417,,25,37,24.0,207.06465058408784,-7.066562470887096,,,28
-9.816690793045217,4.4576532131225886,-25.419343925122448,-7.337972156163417,,150,67,21.130434782608695,178.16836301684853,-6.629739803419221,,,29
-10.753737625553121,6.348157855370462,-46.29127346176153,-7.337972156163417,,150,94,35.083333333333336,168.4530341600532,-7.931006487969242,,,30
-9.763370185315377,4.796216840086705,-31.466740992157227,-7.337972156163417,,150,106,36.1578947368421,179.87717722343663,-6.9546229082459545,,,31
-9.457446169478752,3.924990065617044,-25.809260409971586,-7.337972156163417,,150,113,22.941176470588236,178.395982285437,-6.388838546524144,,,32
-8.828650806384049,2.8237098568729193,-20.98560219073333,-3.5899155667258356,,150,119,21.181818181818183,183.82680030565336,-6.185657106256781,,,33
-9.31714091772639,5.231316453055061,-25.809260409971586,-7.337972156163417,,25,28,26.166666666666668,181.75990831115044,-6.32613781751079,,,34
-11.408579837535953,5.982629917943604,-33.24656355952254,-7.337972156163417,,150,77,20.77777777777778,203.99201193592774,-8.027613298332534,,,35
-9.836811376828484,4.33183077859562,-25.809260409971586,-7.337972156163417,,150,82,27.263157894736842,177.84900700941498,-6.681003843894095,,,36
-10.39733517665524,4.59247884406464,-25.771020163291013,-7.337972156163417,,150,104,23.08,178.78052532533877,-7.266716106438618,,,37
-9.370086576369818,3.5140220963062814,-25.771020163291013,-7.337972156163417,,150,112,19.5,184.7546400353619,-6.450296305284993,,,38
-9.980073489805113,4.244094194908724,-25.809260409971586,-7.337972156163417,,150,131,30.476190476190474,176.6178067538905,-6.69830272396207,,,39
