avg,std,min,max,dateRange,maxsize,size,avgTrades,avgExposure,sharpe,evaluationScoreOnSecondary,evaluationScore,id
-7.264382178635319,19.658569809413883,-96.81039905000814,0.0,2018-08-13 03:05:40 to 2018-11-11 03:05:40,50,50,94.92,3.8353117997501323,-30.831864040538445,,,0
-10.569469523997899,16.648308837754527,-77.70384510476516,0.0,,50,21,97.2,15.36263599102423,-26.85521695172511,,,1
-12.730322859145137,2.051502584560764,-20.74107930054457,-10.644089832858313,,30,19,65.0,45.15269493177388,-15.552718571928393,,,2
-16.224735271796202,16.792911997778333,-95.12318494375934,-10.644089832858313,,25,24,555.5,72.30474784397464,-41.806132457615654,,,3
-10.444895036698403,5.177653468237223,-27.228966207263568,0.0,,25,34,41.77777777777778,97.47396594860855,-11.76778226675271,,,4
-8.221310170603166,5.391035521272295,-16.93538569860904,0.0,,25,38,16.923076923076923,93.62319999773338,-8.225256952913027,,,5
-9.101763617251825,4.650260254864134,-13.354733451169949,0.0,,30,30,0.0,109.54966049382719,-8.720955840725471,,,6
-7.674485383288413,5.275160503647787,-13.354733451169949,0.0,,30,38,0.0,103.0785331384016,-7.050492656110715,,,7
-8.761414334938586,4.749180562146003,-13.354733451169949,0.0,,30,27,0.0,116.87061042524009,-8.045045902031896,,,8
-8.901877349343073,6.187881709985047,-28.16227882148273,0.0,,30,24,31.428571428571427,126.45617283950621,-8.70768100316261,,,9
-7.912006282112965,4.650194721354174,-11.777402433898231,0.0,,30,24,2.7142857142857144,150.67480709876546,-6.056131585773289,,,10
-13.65489573465198,14.491850349293461,-79.12189470610984,-6.67199841003999,,30,22,317.25,177.13139331228788,-29.689811172614192,,,11
-9.050767507899785,2.0579660522294922,-11.777402433898231,-6.67199841003999,,25,26,19.0,206.305235042735,-6.868517053043377,,,12
-8.87922713213042,2.4137025541914143,-16.146267552256504,-6.67199841003999,,25,30,57.25,207.33694839219064,-7.076535941377627,,,13
-6.877535790977837,3.886360819417576,-13.354733451169949,0.0,,25,31,11.428571428571429,171.67401433691762,-5.109495259632174,,,14
-6.757697245263381,4.024675127272489,-13.354733451169949,0.0,,25,28,6.333333333333333,166.49027777777778,-5.045640771972196,,,15
-6.606476575183183,4.271364788921814,-13.354733451169949,0.0,,30,24,0.0,157.60054012345685,-4.9726021260670175,,,16
-10.517192152252722,5.738751369709233,-28.16227882148273,-6.67199841003999,,30,21,127.4,191.10533795415265,-11.466628373308302,,,17
-8.282888930927983,7.81095236519562,-35.242310940705536,0.0,,25,27,77.9,142.32693765487417,-10.713395013534667,,,18
-4.196840415793924,4.65687851630894,-14.081482726746344,0.0,,25,35,0.0,96.67534562211985,-3.5975797869559494,,,19
-11.814169461812758,14.320173021102718,-75.31691341441855,-6.67199841003999,,30,22,285.0,184.32238836839284,-26.712538528509057,,,20
-6.213796657824739,4.266447836717363,-14.081482726746344,0.0,,25,23,0.0,146.99629889356402,-5.358961677338866,,,21
-11.578911668223375,14.810407020978424,-75.31691341441855,-6.67199841003999,,25,20,472.5,191.0970304038853,-26.915163420966064,,,22
-8.017409096234307,2.677606838023099,-16.81384840035612,-6.67199841003999,,25,21,24.666666666666668,203.93421801217505,-6.771069743827097,,,23
-7.5951548447874435,2.506990789008667,-16.81384840035612,-6.67199841003999,,25,22,23.25,204.3782855436082,-6.440599811239889,,,24
-6.073900831678057,3.5318896026518987,-14.826314848923445,0.0,,25,31,11.363636363636363,161.91761692103137,-5.800385008796971,,,25
-8.664844321678299,9.115885000110751,-54.64081939091483,0.0,,25,32,84.33333333333333,155.501099957064,-14.20007611800889,,,26
-6.655626910587638,4.117406717226096,-16.81384840035612,0.0,,30,33,9.75,145.9030226936545,-7.0968725459630955,,,27
-7.759031039225034,2.4160292271239547,-14.826314848923445,-6.67199841003999,,30,27,19.0,183.52893445822508,-8.034754906023606,,,28
-8.147147873850175,3.0585446186925433,-16.81384840035612,-6.67199841003999,,25,29,41.0,174.8742705988673,-8.454719356862936,,,29
-5.898481922221512,2.5946196910833748,-9.841055928048732,0.0,,25,33,5.428571428571429,167.40776174442846,-4.982356994577446,,,30
-6.181076965474208,2.6696794142222853,-13.50786773666654,0.0,,25,32,13.333333333333334,177.5466720779221,-5.2134523493058715,,,31
-5.852766357215519,2.892913219850926,-13.50786773666654,0.0,,30,30,7.0,167.045330286997,-4.84027828133541,,,32
-6.230930279415007,2.6771384699791385,-13.50786773666654,0.0,,30,32,26.666666666666668,166.1290855105739,-5.406381378766388,,,33
-7.443296111629942,8.45322586815296,-57.538418385665516,0.0,,30,41,71.54545454545455,169.88291920305556,-10.949724559918101,,,34
-5.942149558568551,3.195801968144383,-16.81384840035612,0.0,,30,36,14.0,154.36107069370962,-5.013943722721425,,,35
-5.930033030415799,2.5013894739353897,-10.071961128163181,0.0,,30,37,13.0,149.90833333333333,-5.0588532581167645,,,36
-5.59436529905651,2.533846671074234,-10.071961128163181,0.0,,30,38,0.0,141.23762183235868,-4.645428395216802,,,37
-5.463558438912171,2.412092913087805,-10.071961128163181,0.0,,30,40,0.0,129.8102976190476,-4.497071793057544,,,38
-5.007347302514875,3.8879702124889652,-22.991661933969738,0.0,,30,43,16.333333333333332,101.07691293571693,-4.785560774246417,,,39
-7.745096071721184,15.15689670587551,-97.55009382343567,0.0,,30,37,255.44444444444446,106.96854192265587,-24.565562367233802,,,40
-4.478850736081697,2.8856984479855896,-8.736780926649331,0.0,,30,42,0.0,90.5416323094895,-4.004962277183772,,,41
