avg,std,min,max,dateRange,maxsize,size,avgTrades,avgExposure,sharpe,evaluationScoreOnSecondary,evaluationScore,id
-53.79556132280829,10.216245011420177,-67.55962128211377,-15.850307866537435,2018-08-03 00:08:29 to 2018-11-01 00:08:29,50,50,448.34,6.006279839525961,-217.40098163024552,,,0
-55.03308167770973,9.1553399111187,-69.9837847380288,-33.38786611462679,,50,53,452.1132075471698,5.284918085422761,-224.8618827031372,,,1
-53.024746257274856,11.723612316418594,-67.40903114332232,-15.701150927345381,,150,58,436.3448275862069,6.415288587406519,-212.4150199760739,,,2
-51.354395665026914,10.664159698393457,-67.4565859477343,-29.672239971390155,,25,25,412.96,5.693188036205548,-203.2183267409359,,,3
-53.44715614446658,11.159465020773002,-67.7012498161676,-18.67355611749207,,150,61,433.73770491803276,5.889749796415914,-211.72556006302494,,,4
-54.02032552386124,12.480105803392174,-70.34214662219699,-18.77378694607404,,25,26,446.9230769230769,7.20747577524942,-221.17865562193597,,,5
-51.877416912074885,12.78316591268971,-66.76756376359663,-15.850307866537435,,27,31,428.35483870967744,7.467988895226573,-208.60206091341655,,,6
-50.941765580314595,9.446540401353612,-67.15825566452799,-35.74792153349151,,25,25,416.68,5.719317575593194,-198.42818647350478,,,7
-51.29209293649335,11.781489775520367,-69.05726930628377,-18.77378694607404,,150,69,418.2028985507246,6.951730162087555,-200.80225310429162,,,8
-58.01454428677595,8.057061296350689,-69.88058195081915,-39.485829630985606,,25,27,490.85185185185185,4.487993126698628,-249.30892406869006,,,9
-52.8134566908683,11.870634818521829,-71.46540897819719,-15.850307866537435,,150,59,434.76271186440675,6.189814285693552,-215.13912099918528,,,10
-56.12267267070792,11.872689473641731,-68.59484350802543,-15.850307866537435,,25,34,468.9117647058824,5.835497164613697,-233.92846933840465,,,11
-51.901177166437485,14.636595552796145,-69.5302158414516,-18.77378694607404,,25,25,427.8,7.695706114981476,-207.26108959314107,,,12
-55.12155589176392,8.862170765810212,-69.3015403038791,-34.943838775030926,,94,60,449.06666666666666,5.364484760785902,-222.96797653067267,,,13
-53.635441435057864,11.746747042526104,-70.50871022405326,-15.850307866537435,,150,65,439.0,6.905469704563107,-213.11672548347255,,,14
-54.965607857096856,8.733538164306063,-69.18485033954767,-36.48694835681425,,25,30,453.76666666666665,5.412947640025463,-222.50681601479698,,,15
-53.77483504185329,8.119176331669557,-69.18873405491675,-32.72576864059363,,150,61,436.55737704918033,5.5113109671152385,-213.950473527417,,,16
-52.8260005982305,12.15249287181984,-69.73598176671898,-18.77378694607404,,25,25,435.64,7.038775817060916,-210.18577757394254,,,17
-52.700461989790426,10.975515450930644,-68.11557144037297,-30.32990528428816,,25,28,434.57142857142856,5.679701199562429,-209.3726678809308,,,18
